"V1","V2","V3","V4","V5","V6"
2960,2137,1547,2837,2986,885
2424,3363,1576,70,2600,392
1844,2539,1485,1028,1675,336
3039,70,3363,1856,390,2973
297,1236,2197,1637,2147,1760
1918,3106,657,2544,2253,900
3380,1329,2570,2765,2264,1653
77,1652,3356,778,3241,864
298,3059,3178,208,150,2972
1671,216,365,611,2200,2500
3006,410,2989,875,3225,743
1657,1526,1939,326,2133,1359
1737,271,3196,2021,3358,3287
3465,990,2914,130,623,3134
1787,274,1137,5,1673,2282
2560,2571,1152,1785,1850,3503
1448,75,1825,2214,2321,2621
369,2573,2912,2536,2566,2050
678,1899,2986,1523,2433,775
332,1191,1160,612,181,876
899,362,1229,3057,3046,1571
235,399,2882,2246,2989,875
3379,587,1340,2715,1885,1637
1135,179,459,1634,1981,183
275,2351,1930,3190,507,516
3453,2255,2221,1740,1461,2404
1636,184,148,1082,2686,920
2467,2461,1160,1051,181,2719
3401,2955,766,1848,3138,360
3079,2755,949,825,2152,2676
921,3498,43,3418,987,1726
95,2305,1974,1489,1022,3185
105,3372,2340,3240,996,2969
2227,1237,824,2177,3023,1302
211,2734,769,2615,1511,3237
203,1139,2590,2937,1699,3031
2815,2128,488,2385,725,1348
3503,1059,1785,1683,3046,1801
1162,3040,435,3157,3386,3158
528,2956,1387,1905,2767,1288
3440,839,2116,2337,2643,2202
1903,130,1338,3465,760,2961
2947,321,753,2782,1714,2241
578,2674,1341,282,171,1672
121,526,1869,2294,132,1100
2963,2886,1915,2045,2243,126
3386,2527,427,1349,1162,2195
1098,1895,2808,2861,3278,2953
236,74,2710,1176,119,503
29,3237,2031,2615,893,3074
905,3218,3193,530,2856,3204
2943,2210,827,1344,960,2
924,2021,1861,1127,2237,762
768,1138,2995,1419,699,124
3055,1566,1741,3428,1841,1123
2234,1121,1665,670,926,3301
3235,1863,1771,1014,2079,53
350,2254,2896,3067,1934,253
988,1856,1381,2343,3039,3144
1827,2948,2936,254,381,204
3200,2487,1876,1791,2722,2985
502,1253,3349,809,1333,729
2149,1305,1839,2989,3504,3225
1660,2753,2382,803,1781,2513
2211,3484,1440,3395,1189,1178
2696,2851,2566,909,1083,2050
576,2414,3320,3004,3025,2071
2784,1164,2274,3139,2486,2838
1456,854,269,3323,197,1860
3510,1117,2818,1904,2966,2570
1647,1981,2559,412,1187,1135
2840,2999,3516,122,2549,3359
2033,3113,1716,1764,874,2193
659,2423,1600,1752,2259,2271
1523,3027,678,295,3361,1039
1800,2641,1175,1724,2925,2634
3014,38,882,3178,3044,150
2564,2239,1061,2457,1405,2899
3200,1491,1773,1749,2395,3084
2135,3520,2695,1254,250,163
3497,1667,3036,2162,2386,64
221,1288,58,606,2102,1016
3192,1145,1676,3365,1796,1366
803,2753,1735,1817,1698,1148
1830,154,1393,3478,629,954
560,1143,1318,3289,1296,1545
2602,3321,2256,1307,3151,534
3174,2588,1595,3299,2223,1552
3129,10,1360,712,144,1694
1004,3008,86,871,3429,2120
1812,1280,1577,2684,145,2746
2130,2582,756,2608,133,2105
2656,916,2188,3100,152,1011
964,213,3102,2975,270,3314
1572,2525,3490,1928,374,1819
2996,492,913,707,1634,183
2305,2881,1772,1489,1907,2942
3072,244,1507,1090,157,2647
1036,3517,751,565,2834,3302
725,2930,224,425,2289,2815
1967,1168,1865,818,2878,2471
2260,1723,163,2135,286,1202
898,1874,2854,1750,663,2907
1302,484,2996,1237,3226,1634
997,2396,2006,1112,2333,1381
3084,782,1970,2339,1870,736
3341,2151,2030,1203,258,1771
85,3280,174,666,2078,1524
558,3069,2922,575,3362,2567
2328,60,3335,1929,2812,1327
2383,1038,2206,3374,1508,1913
1502,777,1476,3172,3181,2220
826,1307,972,1555,39,2256
3398,450,797,3417,3349,809
636,1176,2850,1793,2370,236
2111,3430,3364,243,1973,946
3360,1317,2455,1080,2426,2054
1821,2361,131,361,1027,3076
618,716,1930,579,2351,413
1177,595,193,1320,1219,2841
2428,996,110,539,97,2340
2196,3245,2807,3191,289,3480
144,1995,1272,3129,1225,3155
2413,2982,1754,101,3056,853
2907,294,1874,1583,3203,2473
1431,2225,3296,1788,2145,209
2343,2636,988,2522,2110,71
3190,2065,2351,1784,413,2505
1731,1023,2612,190,2794,2240
2614,630,267,856,1756,1050
2943,606,2935,827,3285,221
2010,1538,1709,1408,2141,3342
1298,300,3052,3197,2498,2639
310,917,1786,3022,1693,2528
980,1872,707,1290,44,368
1374,2464,2076,881,1584,3428
3121,92,1199,1919,1142,139
433,1503,132,1322,2649,1869
1352,3415,1285,2684,1397,2746
428,3437,1387,1905,960,3248
1475,2358,386,2531,1336,215
3204,732,439,2148,3218,256
2801,744,83,1205,757,2683
3527,2993,2725,849,1332,3316
2613,1328,3277,1278,384,833
2256,611,3151,216,812,475
1728,3096,1220,1042,66,547
2952,1339,2628,3074,1859,1725
3183,2378,2011,3483,1875,2068
2393,1354,1920,2652,158,3482
2215,97,3071,509,634,2428
2146,642,1241,1204,556,2051
27,2077,1808,1723,3165,2334
2919,594,2308,1414,3135,2921
3164,3108,1171,1031,22,59
910,2650,796,860,1157,2349
2760,2053,774,1528,2379,2832
2541,2493,3162,2732,1060,1829
654,1042,3096,2635,889,535
2752,1025,3109,2789,2826,1114
3424,3054,2367,2197,3334,103
1879,2431,668,146,2551,3127
939,1481,1655,2439,2172,1890
1989,277,2944,2402,3288,1743
703,324,2832,2262,1602,329
2396,1968,2368,1845,1747,967
3269,650,3279,156,2212,219
1083,1204,2851,642,870,540
784,308,2950,2717,22,59
2922,1527,497,3486,2567,1933
1997,2388,1510,798,1999,641
474,1143,2129,2304,1296,1467
13,32,2279,2708,2317,3286
1324,1953,3461,1310,3473,177
349,2058,1347,986,867,1228
1153,3497,1105,199,2476,2875
751,3375,1762,487,744,1036
296,2198,3168,1965,1842,2073
594,2630,2558,2465,747,1992
2805,1264,938,1963,1051,2719
3493,3459,3514,1658,706,2067
2565,1552,2588,3104,2474,1281
3132,1440,2584,1189,2794,2612
834,2726,1732,1394,830,1601
755,2629,1725,1201,2884,2952
3140,2782,3291,321,791,2610
2567,1501,497,1641,3069,170
2071,3320,2055,455,3025,2313
1285,286,2293,2799,1352,2260
1672,432,159,2674,1688,3090
285,2658,507,2351,1325,716
1077,754,3356,1421,3241,1230
1035,2409,1116,172,2039,1807
985,2814,1368,2418,340,1978
2889,1054,1564,1170,787,333
1501,1085,1429,1047,1019,52
927,251,2125,3077,3456,3317
2645,615,81,1495,3114,1983
2419,411,1885,1637,2488,1760
3227,2127,711,357,134,93
2950,341,968,784,1013,1332
3439,1862,1268,3393,233,304
12,2221,3095,3453,1941,2238
2959,380,2067,3514,689,2811
2397,30,2864,752,302,3518
567,542,2558,2465,2308,1414
508,2643,51,2841,839,1320
106,1726,2232,2310,3445,3498
3523,87,1937,761,366,2373
3188,2897,2557,202,1820,2839
1030,147,1780,142,3317,922
3340,758,850,1733,1719,2556
1125,3268,3160,2147,1209,1236
2318,740,2483,1107,1247,315
3262,1479,2811,3148,2094,3446
720,1719,2885,718,2492,758
894,2739,1428,1125,3268,2585
519,1016,2644,3285,470,221
